country,population,region,prev_per_1000,prev_total,governance_issues,basic_needs,inequality,disenfranchised_groups,effect_conflict,vulnerability,survivor_support,criminal_justice,coordination,risk_factors,sourcing_reform,government_response
Afghanistan,38928000,Asia and the Pacific,13.00,505000.00,75,49,71,73,98,86,,,,,,
Albania,2878000,Europe and Central Asia,11.80,34000.00,39,31,44,68,22,40,55,69,75,79,13,62
Algeria,43851000,Africa,1.90,84000.00,54,27,30,58,34,43,23,54,38,43,0,36
Angola,32866000,Africa,4.10,136000.00,51,63,55,71,29,61,59,46,63,29,0,44
Antigua and Barbuda,98000,Americas,,,,,,,,,36,54,63,50,0,44
Argentina,45196000,Americas,4.20,189000.00,41,29,53,43,15,36,50,73,75,64,0,58
Armenia,2963000,Europe and Central Asia,8.90,26000.00,60,31,36,67,21,48,64,58,75,50,0,54
Australia,25500000,Asia and the Pacific,1.60,41000.00,3,29,18,29,26,7,64,69,75,79,38,67
Austria,9006000,Europe and Central Asia,1.90,17000.00,10,22,17,35,19,8,59,65,75,71,25,62
Azerbaijan,10139000,Europe and Central Asia,10.60,107000.00,67,34,28,84,33,57,64,69,63,64,0,59
Bahamas,393000,Americas,,,,,,,,,68,65,25,50,0,53
Bahrain,1702000,Arab States,6.70,11000.00,51,34,27,62,13,40,77,50,63,57,0,55
Bangladesh,164689000,Asia and the Pacific,7.10,1162000.00,52,44,38,81,53,58,41,69,50,50,0,49
Barbados,287000,Americas,,,,,,,,,36,54,38,50,0,41
Belarus,9449000,Europe and Central Asia,11.30,107000.00,53,31,27,64,18,41,64,50,38,50,0,47
Belgium,11590000,Europe and Central Asia,1.00,11000.00,15,22,27,18,29,11,45,65,75,71,38,59
Belize,398000,Americas,,,,,,,,,50,58,38,43,0,45
Benin,12123000,Africa,3.00,37000.00,49,46,47,58,18,48,32,54,50,43,0,40
Bolivia,11673000,Americas,7.20,83000.00,48,40,49,63,20,47,32,58,75,57,13,47
Bosnia and Herzegovina,3281000,Europe and Central Asia,10.10,33000.00,38,22,35,74,26,36,68,65,63,57,0,58
Botswana,2352000,Africa,1.80,4000.00,47,48,55,49,5,45,32,54,63,50,0,42
Brazil,212559000,Americas,5.00,1053000.00,50,28,67,47,31,47,45,50,75,57,38,51
Brunei Darussalam,437000,Asia and the Pacific,,,,,,,,,27,42,25,57,0,35
Bulgaria,6948000,Europe and Central Asia,8.50,59000.00,24,21,44,62,14,26,50,65,63,57,25,55
Burkina Faso,20903000,Africa,3.70,77000.00,47,47,48,60,60,56,45,42,38,29,0,36
Burundi,11891000,Africa,7.50,89000.00,77,58,54,76,46,77,23,42,63,14,0,29
Cambodia,16719000,Asia and the Pacific,5.00,83000.00,60,56,43,63,22,58,41,46,75,43,0,42
Cameroon,26546000,Africa,5.80,155000.00,58,50,56,76,75,70,55,46,38,36,0,41
Canada,37742000,Americas,1.80,69000.00,13,28,18,25,27,11,59,58,75,79,25,60
Cape Verde, -   ,Africa,,,,,,,,,23,35,50,43,0,31
Central African Republic,4830000,Africa,5.20,25000.00,76,76,85,81,83,98,23,42,25,21,0,27
Chad,16426000,Africa,5.90,97000.00,86,55,56,80,57,84,14,38,13,36,0,24
Chile,19116000,Americas,3.20,61000.00,20,24,37,46,28,22,55,69,50,64,0,55
China,1439324000,Asia and the Pacific,4.00,5771000.00,51,30,36,68,34,46,41,46,50,36,13,40
Colombia,50883000,Americas,7.80,397000.00,44,32,62,58,58,51,45,46,63,57,13,46
Costa Rica,5094000,Americas,3.20,16000.00,29,26,42,33,14,24,50,62,63,50,13,51
Côte d'Ivoire,26378000,Africa,7.30,193000.00,61,39,56,63,39,59,18,50,63,43,13,37
Croatia,4105000,Europe and Central Asia,5.20,22000.00,31,33,31,56,15,30,59,65,75,64,13,59
Cuba,11327000,Americas,5.40,61000.00,56,35,37,45,20,43,27,38,50,29,0,31
Cyprus,1207000,Europe and Central Asia,8.00,10000.00,17,24,33,54,26,21,64,62,63,57,25,58
Czechia,10709000,Europe and Central Asia,4.20,45000.00,14,20,24,48,15,13,59,62,88,57,25,59
Democratic Republic of the Congo,89561000,Africa,4.50,407000.00,84,64,67,76,92,94,32,42,50,36,13,36
Denmark,5792000,Europe and Central Asia,0.60,4000.00,12,22,16,18,24,6,64,65,75,64,25,62
Djibouti,988000,Africa,7.10,7000.00,62,58,34,75,10,57,41,46,38,29,0,36
Dominican Republic,10848000,Americas,6.60,72000.00,39,38,53,62,13,41,32,62,63,57,0,46
Ecuador,17643000,Americas,7.60,135000.00,49,38,52,61,26,48,50,58,63,57,13,51
Egypt,102334000,Africa,4.30,442000.00,56,39,38,83,53,59,55,42,38,57,0,44
El Salvador,6486000,Americas,8.10,52000.00,54,34,67,62,21,52,45,58,50,43,0,45
Equatorial Guinea,1403000,Africa,7.80,11000.00,73,60,55,77,7,69,27,27,25,14,0,22
Eritrea,3546000,Africa,90.30,320000.00,66,60,46,77,21,66,-5,23,25,-21,0,5
Estonia,1327000,Europe and Central Asia,4.10,5000.00,16,18,25,50,23,15,59,46,75,79,25,56
Eswatini,1160000,Africa,3.60,4000.00,71,52,39,71,4,59,27,38,50,57,0,36
Ethiopia,114964000,Africa,6.30,727000.00,54,59,41,79,70,67,41,54,50,57,0,45
Fiji,896000,Asia and the Pacific,,,,,,,,,50,50,38,64,0,46
Finland,5541000,Europe and Central Asia,1.40,8000.00,12,21,12,24,22,5,55,62,88,71,25,60
France,65274000,Europe and Central Asia,2.10,135000.00,11,21,28,33,38,13,41,81,88,57,38,62
Gabon,2226000,Africa,7.60,17000.00,62,52,51,69,16,59,27,31,25,21,0,24
Gambia,2417000,Africa,6.50,16000.00,65,51,41,65,16,58,23,58,25,43,0,36
Georgia,3989000,Europe and Central Asia,7.80,31000.00,40,27,34,68,29,38,68,65,75,71,0,62
Germany,83784000,Europe and Central Asia,0.60,47000.00,13,22,25,18,35,11,50,81,63,57,38,62
Ghana,31073000,Africa,2.90,91000.00,43,44,47,62,21,45,45,54,63,36,13,45
Greece,10423000,Europe and Central Asia,6.40,66000.00,17,22,32,52,31,21,68,62,75,64,25,62
Guatemala,17916000,Americas,7.80,140000.00,54,42,68,65,29,57,59,50,63,43,0,47
Guinea,13133000,Africa,4.00,53000.00,75,46,50,74,21,66,36,50,38,29,0,36
Guinea-Bissau,1968000,Africa,4.50,9000.00,83,75,63,70,11,80,32,35,25,57,0,33
Guyana,787000,Americas,4.20,3000.00,45,24,61,61,10,41,50,65,63,50,0,51
Haiti,11403000,Americas,8.20,94000.00,62,58,54,76,29,66,41,38,38,50,0,37
Honduras,9905000,Americas,7.00,69000.00,66,41,66,58,33,62,45,54,50,64,0,47
Hong Kong,7497000,Asia and the Pacific,2.80,21000.00,40,20,19,63,14,28,27,35,38,50,0,32
Hungary,9660000,Europe and Central Asia,6.60,63000.00,20,20,29,59,12,19,50,58,63,71,25,55
Iceland,341000,Europe and Central Asia,,,,,,,,,55,50,38,50,25,47
India,1380004000,Asia and the Pacific,8.00,11050000.00,46,48,40,55,80,56,36,58,75,50,0,46
Indonesia,273524000,Asia and the Pacific,6.70,1833000.00,35,48,46,77,39,49,45,65,50,57,0,50
Iran,83993000,Asia and the Pacific,7.10,597000.00,80,35,45,82,40,68,-5,19,25,0,0,8
Iraq,40223000,Arab States,5.50,221000.00,78,44,63,78,83,82,41,38,38,29,0,33
Ireland,4938000,Europe and Central Asia,1.10,5000.00,14,25,27,18,18,9,59,69,88,64,25,63
Israel,8656000,Europe and Central Asia,3.80,33000.00,46,32,28,44,25,35,41,50,63,57,0,45
Italy,60462000,Europe and Central Asia,3.30,197000.00,22,24,38,39,26,22,50,65,63,79,25,59
Jamaica,2961000,Americas,7.30,22000.00,39,38,79,52,12,45,41,62,88,57,0,51
Japan,126476000,Asia and the Pacific,1.10,144000.00,17,20,17,40,19,11,45,42,63,57,0,44
Jordan,10203000,Arab States,10.00,102000.00,51,38,35,80,27,49,50,54,50,50,0,46
Kazakhstan,18777000,Europe and Central Asia,11.10,208000.00,54,21,36,68,21,42,45,50,50,64,0,46
Kenya,53771000,Africa,5.00,269000.00,57,57,48,68,63,66,55,50,50,50,0,46
Kosovo, -   ,Europe and Central Asia,8.00,14000.00,58,26,34,62,1,40,59,50,50,36,0,45
Kuwait,4271000,Arab States,13.00,55000.00,44,31,30,61,31,39,36,42,50,43,0,37
Kyrgyzstan,6524000,Europe and Central Asia,8.70,57000.00,65,34,42,76,18,55,41,65,63,43,0,47
Lao PDR,7276000,Asia and the Pacific,5.20,38000.00,57,55,38,60,10,52,59,50,50,43,0,46
Latvia,1886000,Europe and Central Asia,3.40,6000.00,16,20,34,41,26,17,64,65,63,57,25,59
Lebanon,6825000,Arab States,7.60,52000.00,59,45,45,74,42,60,32,42,50,29,0,33
Lesotho,2142000,Africa,1.60,4000.00,62,69,51,56,1,59,36,50,50,43,0,40
Liberia,5058000,Africa,3.10,16000.00,55,64,39,67,13,56,50,42,50,43,0,41
Libya,6871000,Africa,6.80,47000.00,76,49,64,66,82,80,-9,35,25,-7,0,10
Liechtenstein, -   ,Europe and Central Asia,,,,,,,,,27,42,25,29,13,31
Lithuania,2722000,Europe and Central Asia,6.10,17000.00,25,19,29,56,16,21,59,65,50,64,25,58
Luxembourg,626000,Europe and Central Asia,,,,,,,,,50,62,50,50,25,51
Madagascar,27691000,Africa,4.60,127000.00,48,60,65,74,18,60,41,65,25,36,0,42
Malawi,19130000,Africa,4.90,93000.00,49,52,54,77,15,55,55,46,38,21,0,38
Malaysia,32366000,Asia and the Pacific,6.30,202000.00,30,33,38,72,33,37,41,58,50,50,0,45
Maldives,541000,Asia and the Pacific,,,,,,,,,41,38,38,50,0,37
Mali,20251000,Africa,5.20,106000.00,63,43,63,71,84,73,23,50,50,14,0,31
Malta,442000,Europe and Central Asia,,,,,,,,,64,58,38,29,25,49
Mauritania,4650000,Africa,32.00,149000.00,78,46,38,87,15,66,27,54,38,29,0,35
Mauritius,1272000,Africa,1.50,2000.00,21,25,39,47,8,20,32,50,25,43,0,36
Mexico,128933000,Americas,6.60,850000.00,49,35,69,49,75,58,50,65,88,57,0,55
Moldova,4034000,Europe and Central Asia,9.50,38000.00,31,42,33,68,18,36,45,50,63,57,13,47
Mongolia,3278000,Asia and the Pacific,4.00,13000.00,50,50,44,67,14,50,36,54,25,43,13,40
Montenegro,628000,Europe and Central Asia,,,,,,,,,68,73,63,57,0,60
Morocco,36911000,Africa,2.30,85000.00,51,34,40,61,20,44,23,54,50,57,0,40
Mozambique,31255000,Africa,3.00,93000.00,58,63,57,58,54,67,50,54,50,43,0,45
Myanmar,54410000,Asia and the Pacific,12.10,657000.00,65,50,34,75,69,67,50,42,75,36,0,42
Namibia,2541000,Africa,2.40,6000.00,38,61,55,57,10,47,55,46,25,57,0,44
Nepal,29137000,Asia and the Pacific,3.30,97000.00,47,55,39,38,33,46,36,58,63,50,0,45
Netherlands,17135000,Europe and Central Asia,0.60,10000.00,11,19,23,18,24,6,77,62,88,64,38,67
New Zealand,4822000,Asia and the Pacific,1.60,8000.00,14,23,11,31,17,8,45,65,50,64,25,54
Nicaragua,6625000,Americas,7.30,49000.00,52,44,58,63,29,54,27,50,38,43,0,36
Niger,24207000,Africa,4.60,112000.00,68,59,63,64,66,76,23,54,50,43,0,37
Nigeria,206140000,Africa,7.80,1611000.00,57,55,58,78,93,76,68,58,50,57,0,54
North Korea,25779000,Asia and the Pacific,104.60,2696000.00,93,64,23,52,5,67,-9,8,13,-21,0,-3
North Macedonia,2083000,Europe and Central Asia,12.60,26000.00,35,34,36,80,15,38,68,65,75,50,0,58
Norway,5421000,Europe and Central Asia,0.50,3000.00,4,26,14,14,21,1,55,73,75,64,38,63
Oman,5107000,Arab States,6.50,33000.00,58,33,21,64,4,40,41,38,50,50,0,38
Pakistan,220892000,Asia and the Pacific,10.60,2349000.00,78,54,46,70,83,80,36,42,50,43,0,37
Palau, -   ,Asia and the Pacific,,,,,,,,,27,31,25,36,0,27
Panama,4315000,Americas,4.70,20000.00,36,31,50,51,8,33,41,65,50,71,0,51
Papua New Guinea,8947000,Asia and the Pacific,10.30,93000.00,69,68,100,60,21,79,23,42,50,29,0,31
Paraguay,7133000,Americas,6.40,46000.00,46,38,59,63,19,47,41,69,63,43,0,49
Peru,32972000,Americas,7.10,234000.00,42,41,53,63,30,47,59,65,63,57,0,55
Philippines,109581000,Asia and the Pacific,7.80,859000.00,55,53,58,60,70,66,59,73,75,50,13,59
Poland,37847000,Europe and Central Asia,5.50,209000.00,19,22,33,52,15,19,50,65,75,50,25,55
Portugal,10197000,Europe and Central Asia,3.80,39000.00,6,21,24,41,8,6,73,73,75,64,25,67
Qatar,2881000,Arab States,6.80,20000.00,48,41,11,70,13,38,59,42,63,64,0,49
Republic of the Congo,5518000,Africa,8.00,44000.00,81,52,63,77,33,77,41,27,38,21,0,28
Romania,19238000,Europe and Central Asia,7.50,145000.00,27,23,35,62,12,26,59,65,75,50,25,58
Russia,145934000,Europe and Central Asia,13.00,1899000.00,75,22,44,67,49,60,5,46,38,21,0,24
Rwanda,12952000,Africa,4.30,55000.00,40,61,39,78,31,53,55,62,38,57,0,50
Saint Lucia,184000,Americas,,,,,,,,,45,69,50,57,0,51
Saint Vincent and the Grenadines,111000,Americas,,,,,,,,,59,50,63,29,0,45
Saudi Arabia,34814000,Arab States,21.30,740000.00,66,29,22,68,47,53,59,54,63,43,0,49
Senegal,16744000,Africa,2.90,49000.00,58,43,41,69,20,53,36,50,63,36,0,40
Serbia,8737000,Europe and Central Asia,7.00,61000.00,35,33,34,64,21,34,64,69,63,50,0,56
Seychelles,98000,Africa,,,,,,,,,23,46,38,43,0,33
Sierra Leone,7977000,Africa,3.40,27000.00,49,64,48,65,19,55,27,46,38,36,0,33
Singapore,5850000,Asia and the Pacific,2.10,12000.00,39,23,13,51,13,24,55,54,38,57,0,47
Slovakia,5460000,Europe and Central Asia,7.70,42000.00,14,19,31,59,14,16,50,62,63,79,25,58
Slovenia,2079000,Europe and Central Asia,4.40,9000.00,13,19,20,49,1,9,50,65,63,64,25,56
Solomon Islands,687000,Asia and the Pacific,,,,,,,,,14,42,50,43,0,31
Somalia,15893000,Africa,6.20,98000.00,93,62,68,86,80,98,9,27,25,21,0,18
South Africa,59309000,Africa,2.70,158000.00,41,51,74,49,32,52,45,69,63,57,0,53
South Korea,51269000,Asia and the Pacific,3.50,180000.00,30,28,26,71,13,29,41,46,50,36,0,38
South Sudan,11194000,Africa,10.30,115000.00,99,57,73,86,75,100,,,,,,
Spain,46755000,Europe and Central Asia,2.30,108000.00,12,25,23,24,28,10,55,73,75,71,25,63
Sri Lanka,21413000,Asia and the Pacific,6.50,139000.00,60,34,43,69,42,56,45,65,50,50,0,49
Sudan,43849000,Africa,4.00,174000.00,86,48,42,77,83,82,9,46,38,21,0,26
Suriname,587000,Americas,,,,,,,,,36,35,25,36,0,31
Sweden,10099000,Europe and Central Asia,0.60,6000.00,12,20,24,11,33,7,59,69,63,79,25,63
Switzerland,8655000,Europe and Central Asia,0.50,4000.00,25,24,15,31,13,14,50,50,50,64,25,50
Syria,17501000,Arab States,8.70,153000.00,68,39,100,65,94,83,,,,,,
Taiwan,23817000,Asia and the Pacific,1.70,40000.00,26,29,29,50,4,21,45,36,63,79,13,47
Tajikistan,9538000,Europe and Central Asia,14.00,133000.00,69,47,44,88,33,67,23,54,50,36,0,36
Tanzania,59734000,Africa,2.90,171000.00,50,53,50,64,22,53,45,54,50,36,0,42
Thailand,69800000,Asia and the Pacific,5.70,401000.00,42,32,47,58,55,46,50,65,75,64,0,55
Timor-Leste,1318000,Asia and the Pacific,6.10,8000.00,46,56,52,67,10,51,32,42,50,36,0,35
Togo,8279000,Africa,3.30,28000.00,60,51,48,68,13,57,27,42,38,43,0,33
Trinidad and Tobago,1399000,Americas,4.70,7000.00,41,31,59,49,8,38,50,65,63,36,0,49
Tunisia,11819000,Africa,2.30,27000.00,54,31,39,66,33,48,50,54,50,57,0,47
Türkiye,84339000,Europe and Central Asia,15.60,1320000.00,46,31,42,67,65,51,64,54,63,36,0,49
Turkmenistan,6031000,Europe and Central Asia,11.90,72000.00,68,20,24,76,16,47,14,46,25,21,0,26
Uganda,45741000,Africa,4.20,190000.00,48,73,52,71,29,62,50,50,75,43,0,46
Ukraine,43734000,Europe and Central Asia,12.80,559000.00,49,27,41,66,50,48,64,54,63,50,0,51
United Arab Emirates,9890000,Arab States,13.40,132000.00,57,27,22,68,6,40,59,42,75,64,0,50
United Kingdom,67886000,Europe and Central Asia,1.80,122000.00,12,25,28,30,34,14,59,81,75,71,38,68
United States of America,331003000,Americas,3.30,1091000.00,28,28,29,36,33,25,86,62,63,64,38,67
Uruguay,3474000,Americas,1.90,7000.00,41,25,48,22,9,27,55,73,50,64,0,56
Uzbekistan,33469000,Europe and Central Asia,7.40,249000.00,72,34,37,66,23,56,45,54,50,57,0,46
Vanuatu,307000,Asia and the Pacific,,,,,,,,,9,38,50,29,0,26
Venezuela,28436000,Americas,9.50,270000.00,67,41,80,54,37,66,14,46,25,29,0,27
Viet Nam,97339000,Asia and the Pacific,4.10,396000.00,47,40,33,64,23,44,64,46,75,36,0,47
Yemen,29826000,Arab States,6.00,180000.00,78,60,64,88,80,89,,,,,,
Zambia,18384000,Africa,5.10,94000.00,47,61,64,80,7,58,50,46,50,57,0,45
Zimbabwe,14863000,Africa,5.00,74000.00,74,62,61,81,22,75,27,35,38,21,0,27